sample_id,source_name,channel,input_type,seed_label,ground_truth_label,category,market,has_url_flag,has_email_flag,has_phone_flag,message_text_gold
mendeley_sms_00001,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
mendeley_sms_00002,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,What's up? Do you want me to come online? If you are free we can talk sometime�
mendeley_sms_00003,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,So u workin overtime nigpun?
mendeley_sms_00004,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
mendeley_sms_00005,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,No,No,No,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD
mendeley_sms_00006,mendeley_sms_phishing,sms,text,Smishing,scam,none,unknown,yes,No,yes,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate
mendeley_sms_00007,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
mendeley_sms_00008,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
mendeley_sms_00009,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
mendeley_sms_00010,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Wat r u doing now?
mendeley_sms_00011,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Buy one egg for me da..please:)
mendeley_sms_00012,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
mendeley_sms_00013,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Stop the story. I've told him i've returned it and he's saying i should not re order it.
mendeley_sms_00014,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,No. I dont want to hear anything
mendeley_sms_00015,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
mendeley_sms_00016,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I'm e person who's doing e sms survey...
mendeley_sms_00017,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Mm i had my food da from out
mendeley_sms_00018,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"4 tacos + 1 rajas burrito, right?"
mendeley_sms_00019,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,"House-Maid is the murderer, coz the man was murdered on  26th January.."
mendeley_sms_00020,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Yes! How is a pretty lady like you single?
mendeley_sms_00021,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,(That said can you text him one more time?)
mendeley_sms_00022,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,I know she called me
mendeley_sms_00023,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,In sch but neva mind u eat 1st lor..
mendeley_sms_00024,mendeley_sms_phishing,sms,text,spam,scam,none,unknown,No,No,yes,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
mendeley_sms_00025,mendeley_sms_phishing,sms,text,ham,not_scam,none,unknown,No,No,No,Jay says that you're a double-faggot
